Department Ref Number,Construction Activity (Y/N),County,Development Name,Address 1,Address 2,Planning Ref,Planning Date,Planning Expiry Date,Detached Units,Semi-detached Units,Terraced Units,Apartment Units,Duplex Units,Total All Units,Occupied Houses,Vacant Houses,Near Complete Active Houses,Near Complete Not Active Houses,Wall Plate Active Houses,Wall Plate Not Active Houses,DPC Active Houses,DPC Not Active Houses,Founds Active Houses,Founds Not Active Houses,No Start Houses,Planning Expired Houses,Occupied Apartments,Vacant Apartments,Near Complete Active Apartments,Near Complete Not Active Apartments,Wall Plate Active Apartments,Wall Plate Not Active Apartments,DPC Active Apartments,DPC Not Active Apartments,Founds Active Apartments,Founds Not Active Apartments,No Start Apartments,Plannig Expired Apt,Roads Complete,Road Base Complete,Roads None,Footpaths Complete,Footpaths Not Complete,Lighting Complete,Lighting Not Complete,Water Potable,Water Storm,Water Waste,No OS Areas In Planning Permission,OS Area Complete,OS Area Levelled,OS Area Untouched,Survey Date,Building Site Only,,Occupied Houses Impacted,Occupied Apartments Impacted
29,No,Mayo,Abbey Court,Killala Road,Ballina,982891,,16/06/2004,21,104,6,0,0,131,80,2,0,2,0,2,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,82,0,0,82,0,82,0,82,82,82,5,3,0,2,24/07/2017,No,,4,0
158,No,Mayo,The Waterways,Ballinrobe Road,Castlebar,53352,26/09/2006,30/10/2011,51,0,8,6,0,65,0,0,0,0,0,15,0,0,0,0,0,44,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,24/07/2017,Yes,1,0,0
1958,No,Mayo,"Beechpark, Grattan Park",Convent Road,Claremorris,"051000, 062836, 072946","31/01/06, 15/01/07, 09/01/08",14/01/2012,7,4,16,12,12,51,12,0,0,0,0,0,0,2,0,4,0,9,0,0,0,8,0,8,0,0,0,0,0,8,12,0,0,12,0,12,0,12,12,12,2,1,0,1,25/07/2017,No,,9,0
1970,No,Mayo,Cill O Shighin,Galway Road,Ballinrobe,"032953, 071181",01/09/2004,04/10/2015,12,26,45,0,0,83,59,6,0,3,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,67,0,67,0,67,67,67,3,2,0,1,25/07/2017,No,,12,0
1979,No,Mayo,Craobh Ban,Quay Road,Newport,33537,06/05/2005,,0,0,36,6,0,42,6,3,0,0,0,0,0,0,1,0,0,26,2,0,0,0,0,0,0,2,0,0,0,2,0,0,11,11,0,6,6,11,11,11,6,2,0,4,24/07/2017,No,,2,2
1980,No,Mayo,Derry Gurry,Pontoon Road,Foxford,51405,08/11/2005,08/12/2015,18,0,0,0,0,18,2,0,0,0,0,0,0,3,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,2,0,0,2,2,2,2,1,0,0,1,24/07/2017,No,,0,0
1989,Yes,Mayo,Glenbrook,Kiltimagh Road,Knock,"042968, 062180","06/05/2005, 20/10/06",19/10/2011,5,44,18,10,10,87,34,4,0,2,0,0,0,0,0,2,0,25,0,0,0,0,0,0,0,0,0,0,0,20,0,38,0,38,0,38,0,38,38,38,2,1,1,0,25/07/2017,No,,6,0
2027,No,Mayo,Suan Tra,Aghleam,Aghleam,21434,24/10/2002,23/10/2007,4,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25/07/2017,Yes,1,0,0
2054,Yes,Meath,Clos Na Croise,Kilballivor,Ballivor,FS7072 TA30492,17/04/2007,17/04/2012,0,0,19,19,0,38,19,0,0,0,0,0,0,0,0,0,0,0,9,2,0,0,0,8,0,0,0,0,0,0,0,30,0,30,0,30,0,30,30,30,1,1,0,0,25/08/2017,No,,6,9
2081,yes,Meath,Poynton Place,The Glebe,Ballivor,TA30232,15/06/2004,15/06/2009,1,30,14,0,0,45,25,12,1,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,18,0,18,0,18,18,18,4,3,0,1,25/08/2017,No,,19,0
2122,No,Monaghan,Bothar Na Mullan,Smithborough Road,Scotstown,05/124,27/03/2007,,0,28,0,0,0,28,0,0,0,0,0,4,0,0,0,4,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17/07/2017,Yes,1,0,0
2126,No,Monaghan,Cnoc Na Greine,Ballanode Road,Tydavnet,08 1292,20/03/2009,,0,6,0,0,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17/07/2017,Yes,1,0,0
2128,No,Monaghan,Drummond Ross,Ardee Road,Carrickmacross,45,11/02/2005,,0,0,19,14,0,33,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,17/07/2017,Yes,1,0,0
2155,No,Monaghan,Forest Walk,Mullaghmatt,Monaghan Town,MTC 06/8 & MCC 06/55,08/03/2007,,2,50,15,0,0,67,0,0,0,0,0,8,0,2,0,6,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,6,0,0,0,2,0,0,2,17/07/2017,Yes,1,0,0
2981,No,Monaghan,Corr na Ghlass,Rear of 80 Main Street,Ballybay,04/1447,,01/01/2000,0,0,0,4,4,8,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,4,0,0,0,0,0,0,0,0,0,8,0,8,0,8,2,2,2,0,0,0,0,17/07/2017,No,,0,3
