No.,Funding Programme,LA,Scheme/Project Name,No. of Units,Approved Housing Body,Stage 1 Capital Appraisal,Stage 2 Pre Planning ,Stage 3 Pre Tender design,Stage 4 Tender Report or Final Turnkey/CALF approval,On Site,Practical Completion
199,CALF CONSTRUCTION TURNKEY,Dublin City,"An Riasc, Farnham Drive, Finglas - Phase 1",14,Túath Housing Association,,,,,,Q4-2016
200,CALF CONSTRUCTION TURNKEY,Dublin City,"An Riasc, Farnham Drive, Finglas - Phase 3",10,Túath Housing Association,,,,,,Q2-2017
201,CALF CONSTRUCTION TURNKEY,Dublin City,"175 176 North Strand Road, 5 Lamps, Dublin 1",10,Co-operative Housing Ireland,,,,Scheme approved for CALF funding Q2-2017,,
202,CALF CONSTRUCTION TURNKEY,Dublin City,"Milrose House, Bluebell Avenue, Dublin 12",8,Cluid Housing Association,,,,,,Q4-2017
203,CALF CONSTRUCTION TURNKEY,Dublin City,"Merville Court, Merville Avenue, Fairview",5,Co operative Ireland,,,,,,Q1-2017
204,CALF CONSTRUCTION TURNKEY,Dublin City,"Camac Place, Bluebell, Dublin 12",5,Oaklee Housing Trust,,,,Scheme approved for CALF funding Q2-2017,,
205,CALF CONSTRUCTION TURNKEY,Dublin City,"An Riasc, Farnham Drive, Finglas - Final Phase",3,T£ath Housing Association,,,,,,Q3-2017
206,CALF CONSTRUCTION TURNKEY,Dublin City,"11 13 Crumlin Village, Dublin 12 Phase 1",3,Cluid Housing Association,,,,,,Q2-2017
207,CALF CONSTRUCTION TURNKEY,Dublin City,"11 13 Crumlin Village, Dublin 12 Phase 2",2,Cluid Housing Association,,,,,,Q3-2017
208,CALF CONSTRUCTION TURNKEY,Dublin City,"An Riasc, Farnham Drive, Finglas - Final Phase",1,Túath Housing Association,,,,,Q4-2015,
209,CAS CONSTRUCTION,Dublin City,"Ellis Court, Dublin",23,Túath Housing Association Ltd,,"Stage 2 approved in Q3-2017, full design/tender being prepared.",,,,
210,CAS CONSTRUCTION,Dublin City,Beech Hill,19,Royal Hospital Donnybrook Voluntary Housing Association Ltd,,,,,Q4-2017,
211,CAS CONSTRUCTION,Dublin City,180-187 Townsend Street,18,Peter McVerry Trust Ltd,,"Stage 2 approved in Q3-2017, full design/tender being prepared.",,,,
212,CAS CONSTRUCTION,Dublin City,"55B Arbour Hill, Dublin 7",18,Simon Community : Dublin Simon,"Stage 1 approved in Q4-2017, outline design and costs are now being prepared.",,,,,
213,CAS CONSTRUCTION,Dublin City,"Rafter's Lane, Dublin 12",11,Walkinston Housing Association Ltd (WALK),,,"Stage 3 approved in Q3-2017, the scheme is now being tendered.",,,
214,CAS CONSTRUCTION,Dublin City,"Old Kilmainham Road, Dublin 8",11,Arlington Novas Ireland Ltd,"Stage 1 approved in Q1-2017, outline design and costs are now being prepared.",,,,,
215,CAS CONSTRUCTION,Dublin City,"St Agatha's Court, North William Street, Dublin 1",11,Peter McVerry Trust Ltd,,,,,,Q2-2017
216,CAS CONSTRUCTION,Dublin City,"Broome Lodge, Dunmanus, Dublin 7",10,Cluid Housing Association,,,,,,Q4-2017
217,CAS CONSTRUCTION,Dublin City,"38/39 Bolton Street, Dublin 1",8,Arlington Novas Ireland Ltd,"Stage 1 approved in Q4-2017, outline design and costs are now being prepared.",,,,,
218,CAS CONSTRUCTION,Dublin City,"""Martanna House"" High Park, Grace Park Road,Dublin 9",8,Respond!,,,,,Q4-2017,
219,CAS CONSTRUCTION,Dublin City,"26 New Street South, Dublin 8",8,Peter McVerry Trust Ltd,,"Stage 2 approved in Q3-2017, full design/tender being prepared.",,,,
220,REGENERATION,Dublin City,"Dolphin House, Dublin 8 (Phase 1)",100,N/A,,,,,Q4-2016,
221,REGENERATION,Dublin City,Charlemont,79,N/A,,,,,,Q4-2017
222,REGENERATION,Dublin City,Dominick Street,72,N/A,"Stage 1 approved in Q2-2016, outline design and costs are now being prepared.",,,,,
223,REGENERATION,Dublin City,O'Devaney Gardens,56,N/A,"Stage 1 approved in Q4-2016, outline design and costs are now being prepared.",,,,,
224,REGENERATION,Dublin City,St. Teresa's Gardens,50,N/A,"Stage 1 approved in Q3-2013, outline design and costs are now being prepared.",,,,,
225,REGENERATION,Dublin City,"Buttercup, Darndale",19,N/A,,,,,,Q4-2017
226,REGENERATION,Dublin City,"Buttercup, Darndale",16,N/A,,,,,Q2-2017,
227,REGENERATION,Dublin City,Sackville Avenue Cottages,12,N/A,"Stage 1 approved in Q2-2016, outline design and costs are now being prepared.",,,,,
228,REGENERATION,Dublin City,Maxwell Road,9,N/A,,,,,,Q2-2016
229,SHIP CONSTRUCTION,Dublin City,"Bunratty Road Phase 1c, Dublin 17",62,N/A,"Stage 1 approved in Q2-2015, outline design and costs are now being prepared.",,,,,
230,SHIP CONSTRUCTION,Dublin City,"Cornamona, Ballyfermot, Dublin 12",60,N/A,"Stage 1 approved in Q2-2015, outline design and costs are now being prepared.",,,,,
231,SHIP CONSTRUCTION,Dublin City,"St. Finbar's Court, Kilkieran Road, Dublin 7",46,N/A,"Stage 1 approved in Q4-2017, outline design and costs are now being prepared.",,,,,
232,SHIP CONSTRUCTION,Dublin City,"Infirmary Road, Dublin 7",30,N/A,"Stage 1 approved in Q2-2015, outline design and costs are now being prepared.",,,,,
233,SHIP CONSTRUCTION,Dublin City,"North King Street, Dublin 7",30,N/A,,,"Stage 3 approved in Q3-2017, the scheme is now being tendered.",,,
234,SHIP CONSTRUCTION,Dublin City,Priory Hall (2),26,N/A,,,,,Q2-2017,
235,SHIP CONSTRUCTION,Dublin City,Hampton Wood,25,N/A,,,,,,Q4-2016
236,SHIP CONSTRUCTION,Dublin City,"Belcamp B, Dublin 17",12,N/A,,"Stage 2 approved in Q3-2015, full design/tender being prepared.",,,,
237,SHIP CONSTRUCTION,Dublin City,Priory Hall (1),9,N/A,,,,,,Q1-2017
238,SHIP CONSTRUCTION,Dublin City,"Ballybough Road, Dublin 1",7,N/A,,,,,Q1-2017,
239,SHIP CONSTRUCTION RAPID,Dublin City,"Cherry Orchard, Ballyfermot - Rathvilly & Woodbank Drive Finglas",70,N/A,,,,,Q4-2017,
240,SHIP CONSTRUCTION RAPID,Dublin City,"St Helena's Drive, Finglas",39,N/A,,,,,,Q3-2017
241,SHIP CONSTRUCTION RAPID,Dublin City,"Belcamp H, Dublin 17",38,N/A,,,,,,Q4-2017
242,SHIP CONSTRUCTION RAPID,Dublin City,"Mourne Road, Drimnagh",29,N/A,,,,,,Q4-2017
243,SHIP CONSTRUCTION RAPID,Dublin City,"Cherry Orchard, Ballyfermot",24,N/A,,,,,,Q4-2017
244,SHIP CONSTRUCTION RAPID,Dublin City,"Poppintree, Ballymun",22,N/A,,,,,,Q2-2016
245,SHIP CONSTRUCTION RAPID,Dublin City,"Belcamp C, Dublin 17",16,N/A,,"Stage 2 approved in Q3-2015, full design/tender being prepared.",,,,
246,SHIP CONSTRUCTION TURNKEY,Dublin City,Prospecthill,58,N/A,,,,,,Q4-2017
247,CALF CONSTRUCTION TURNKEY,Fingal,"The Hermitage, Balgriffin, Co. Dublin *",54,Cluid Housing Association,,,,,,Q4-2017
248,CALF CONSTRUCTION TURNKEY,Fingal,"Dun Emer, Lusk",54,Túath Housing Association,,,,,Q4-2017,
249,CALF CONSTRUCTION TURNKEY,Fingal,"The Gallery, Donabate",43,Oaklee Housing Trust,,,,,Q2-2017,
250,CALF CONSTRUCTION TURNKEY,Fingal,"Weavers Walk, Clonsilla Road, Dublin 15",33,Co-operative Housing Ireland,,,,,Q3-2017,
251,CALF CONSTRUCTION TURNKEY,Fingal,"Millers Glen, Oldtown, Swords",28,The Iveagh Trust,,,,Scheme approved for CALF funding Q2-2017,,
252,CALF CONSTRUCTION TURNKEY,Fingal,"Castlegrange, Clonsilla - Phase 2",21,Túath Housing Association,,,,,,Q1-2017
253,CALF CONSTRUCTION TURNKEY,Fingal,"Castlegrange, Clonsilla - Phase 1",19,Túath Housing Association,,,,,,Q4-2016
254,CALF CONSTRUCTION TURNKEY,Fingal,"St Werburghs Court, Drynam Rd, Swords*",18,Túath Housing Association,,,,,,Q4-2017
255,CALF CONSTRUCTION TURNKEY,Fingal,"St Marnock's Bay, Portmarnock *",10,Cluid Housing Association,,,,,,Q4-2017
256,CALF CONSTRUCTION TURNKEY,Fingal,"Castlegrange, Clonsilla - Phase 3",8,Túath Housing Association,,,,,,Q2-2017
257,CAS CONSTRUCTION,Fingal,Killhedge Lane Dun Emer,48,Túath Housing Association Ltd,"Stage 1 approved in Q1-2017, outline design and costs are now being prepared.",,,,,
258,CAS CONSTRUCTION,Fingal,"Church Road/Ladyswell Road, Mulhuddart",22,Cluid Housing Association,,,"Stage 3 approved in Q4-2017, the scheme is now being tendered.",,,
259,CAS CONSTRUCTION,Fingal,"Darcystown, Ringfort, Balrothery",9,North ? East Housing Association Ltd,,,,,,Q3-2017
260,CAS CONSTRUCTION,Fingal,"Estuary Road, Malahide",8,Society of Saint Vincent de Paul,,,,,Q2-2017,
261,CAS CONSTRUCTION,Fingal,Ravenswood,6,Peter McVerry Trust Ltd,,,,"Stage 4 approved in Q4-2017, the scheme is now fully approved.",,
262,CAS CONSTRUCTION,Fingal,"22 College Street, Baldoyle",4,Cluid Housing Association,,"Stage 2 approved in Q3-2016, full design/tender being prepared.",,,,
263,SHIP CONSTRUCTION,Fingal,"Racecourse Common, Lusk (Phase 2.1)",49,N/A,,,,,Q4-2016,
264,SHIP CONSTRUCTION,Fingal,Cappaghfinn (Phase 2),32,N/A,,,Stage 3 approved in Q4-2016 On HOLD.,,,
265,SHIP CONSTRUCTION,Fingal,"Racecourse Common, Lusk (Phase 2.2)",25,N/A,,,,,,Q4-2017
266,SHIP CONSTRUCTION,Fingal,Castlelands Part View (Phase 3),24,N/A,,,,,Q1-2017,
267,SHIP CONSTRUCTION,Fingal,"Rathbeale Road, Swords",24,N/A,,"Stage 2 approved in Q1-2017, full design/tender being prepared.",,,,
268,SHIP CONSTRUCTION,Fingal,"Church Road, Mulhuddart, Dublin 15",22,N/A,,,"Stage 3 approved in Q4-2017, the scheme is now being tendered.",,,
269,SHIP CONSTRUCTION,Fingal,Rowlestown,20,N/A,,,,"Stage 4 approved in Q4-2017, the scheme is now fully approved.",,
270,SHIP CONSTRUCTION,Fingal,Cappaghfinn (Phase 1),14,N/A,,,,,,Q2-2016
271,SHIP CONSTRUCTION,Fingal,"St. Cronan's Green, Swords",14,N/A,,,,,,Q2-2016
272,SHIP CONSTRUCTION,Fingal,"The Grange, Ballyboughal (Part 2)",6,N/A,,,,,Q4-2016,
273,SHIP CONSTRUCTION,Fingal,"Rivermeade, St. Margarets",2,N/A,,"Stage 2 approved in Q1-2017, full design/tender being prepared.",,,,
274,SHIP CONSTRUCTION,Fingal,"The Grange, Ballyboughal (Part 1)",2,N/A,,,,,,Q3-2017
275,SHIP CONSTRUCTION,Fingal,"St. Conan's Cottages, Swords",1,N/A,,,,,,Q2-2016
276,SHIP CONSTRUCTION RAPID,Fingal,"Avondale, Mulhuddart, Dublin 15",44,N/A,"Stage 1 approved in Q2-2017, outline design and costs are now being prepared.",,,,,
277,SHIP CONSTRUCTION RAPID,Fingal,"Hansfield, Ongar, Dublin 15",36,N/A,,,,,,Q3-2017
278,SHIP CONSTRUCTION RAPID,Fingal,"Pinewood, Balbriggan",25,N/A,,,,,Q3-2017,
279,SHIP CONSTRUCTION RAPID,Fingal,"Wellview, Mulhuddart",20,N/A,,,,,,Q4-2017
280,SHIP CONSTRUCTION TURNKEY,Fingal,"Blackmills Grove, Blakestown Road, Mulhuddard",10,N/A,,,,,,Q2-2017
281,SHIP CONSTRUCTION TURNKEY,Fingal,"Balgriffin Grove, Malahide Road, Balgriffin",6,N/A,,,,,,Q1-2017
282,CALF CONSTRUCTION ,Fingal ,"Ladyswell Road & Church Road, Mulhuddart, Dublin 15 ",43,Cluid Housing Association,,,,Scheme approved for CALF funding Q4-2017,,
283,CALF CONSTRUCTION TURNKEY,Fingal ,"Castlefield, Clonsilla, Dublin 11 ",62,Túath Housing Association,,,,,Q1-2017,
284,CALF CONSTRUCTION TURNKEY,Galway City,"Castlegar Road, Galway",81,Respond!,,,,Scheme approved for CALF funding Q2-2017,,
285,CALF CONSTRUCTION TURNKEY,Galway City,"Maigh Rua, Doughiska, Galway",23,Co operative Ireland,,,,,,Q4-2017
286,CALF CONSTRUCTION TURNKEY,Galway City,"Murrough, Renmore, Galway",20,Cluid Housing Association,,,,Scheme approved for CALF funding Q2-2017,,
287,CALF CONSTRUCTION TURNKEY,Galway City,"Boireann Beag, Ros Cam, Galway",16,Cluid Housing Association,,,,,,Q4-2016
288,CALF CONSTRUCTION TURNKEY,Galway City,"Reilean, Roscam, Block 5 Galway *",12,Túath Housing Association,,,,,,Q2-2017
289,CALF CONSTRUCTION TURNKEY,Galway City,"Reilean, Roscam, Block 4 Galway *",12,Túath Housing Association,,,,,,Q2-2017
290,CALF CONSTRUCTION TURNKEY,Galway City,"Maoilin, Ballymoneen Road, Galway - Phase 2 *",4,Túath Housing Association,,,,,,Q4-2017
291,CALF CONSTRUCTION TURNKEY,Galway City,"Maoilin, Ballymoneen Road, Galway - Phase 1 *",2,Túath Housing Association,,,,,,Q1-2017
292,CALF CONSTRUCTION TURNKEY,Galway City,"Cnoc na R¡, clybaun Road, Galway *",2,Cluid Housing Association,,,,,,Q3-2017
293,CAS CONSTRUCTION,Galway City,47 Forster Street,9,Cope Galway,,"Stage 2 approved in Q4-2016, full design/tender being prepared.",,,,
294,CAS CONSTRUCTION,Galway City,"Cul Garrai, Rahoon",6,Peter Triest Housing Association Ltd,"Stage 1 approved in Q3-2015, outline design and costs are now being prepared.",,,,,
295,CAS CONSTRUCTION,Galway City,97/98 Rockfield,4,Carraig Dubh Housing Association,,,,,Q2-2017,
296,SHIP CONSTRUCTION,Galway City,Ballymoneen Road (Phase 2),78,N/A,"Stage 1 approved in Q1-2016, outline design and costs are now being prepared.",,,,,
297,SHIP CONSTRUCTION,Galway City,Ballymoneen Road (Phase 1),14,N/A,,,,,Q2-2017,
298,SHIP CONSTRUCTION,Galway City,"Ballinfoile Park, Headford Road (Infill Units)",10,N/A,"Stage 1 approved in Q3-2017, outline design and costs are now being prepared.",,,,,
299,SHIP CONSTRUCTION,Galway City,Corrib Park (Infill Units),8,N/A,"Stage 1 approved in Q3-2017, outline design and costs are now being prepared.",,,,,
300,SHIP CONSTRUCTION,Galway City,"Carn Ard, Circular Road (Infill Units)",6,N/A,"Stage 1 approved in Q3-2017, outline design and costs are now being prepared.",,,,,
301,SHIP CONSTRUCTION,Galway City,"Castlepark, Ballybane (Infill Units)",4,N/A,"Stage 1 approved in Q3-2017, outline design and costs are now being prepared.",,,,,
302,CALF CONSTRUCTION,Galway County,"Spiddal Cottages, Co Galway - Phase 1",23,Cluid Housing Association,,,,,,Q3-2017
303,CALF CONSTRUCTION,Galway County,"Spiddal Cottages, Co Galway - Phase 2",8,Cluid Housing Association,,,,Scheme approved for CALF funding Q1-2016,,
304,CALF CONSTRUCTION TURNKEY,Galway County,"Cnoc na Si, Portumna",13,Co-operative Housing Ireland,,,,,Q4-2016,
305,CALF CONSTRUCTION TURNKEY,Galway County,"Vicars Choral, Tuam, Co Galway ",13,Co-operative Housing Ireland,,,,Scheme approved for CALF Funding Q4-2017,,
306,CAS CONSTRUCTION,Galway County,"Dunlo Hill, Ballinasloe",17,Cluid Housing Association,,,"Stage 3 approved in Q1-2016, the scheme is now being tendered.",,,
307,CAS CONSTRUCTION,Galway County,Claregalway,14,Claregalway and District Day Care Centre,,,"Stage 3 approved in Q4-2017, the scheme is now being tendered.",,,
308,CAS CONSTRUCTION,Galway County,"Eanach Mheain, Carraroe",13,Tearmann Eanna Teoranta,,"Stage 2 approved in Q4-2017, full design/tender being prepared.",,,,
309,CAS CONSTRUCTION,Galway County,Letterfrack (Phase 1),13,Cluid Housing Association,,,,,,Q2-2016
310,CAS CONSTRUCTION,Galway County,Letterfrack (Phase 2),11,Cluid Housing Association,"Stage 1 approved in Q1-2017, outline design and costs are now being prepared.",,,,,
311,CAS CONSTRUCTION,Galway County,"Rossaveal Cottages, Ros a Mh¡l, South Connemara",8,Tearmann Eanna Teoranta,"Stage 1 approved in Q4-2016, outline design and costs are now being prepared.",,,,,
312,CAS CONSTRUCTION,Galway County,Mountbellew,5,Mountbellew Voluntary Homes Association,"Stage 1 approved in Q3-2015, outline design and costs are now being prepared.",,,,,
313,CAS CONSTRUCTION,Galway County,"Springfield, Parkmore",4,Peter Triest Housing Association Ltd,,"Stage 2 approved in Q4-2017, full design/tender being prepared.",,,,
314,SHIP CONSTRUCTION,Galway County,"Gilmartin Road, Tuam",61,N/A,,,,,Q4-2017,
315,SHIP CONSTRUCTION,Galway County,"Weir Road, Tuam",30,N/A,,,"Stage 3 approved in Q3-2017, the scheme is now being tendered.",,,
316,SHIP CONSTRUCTION,Galway County,"Garbally Drive, Ballinasloe",10,N/A,,,"Stage 3 approved in Q4-2017, the scheme is now being tendered.",,,
317,SHIP CONSTRUCTION,Galway County,"Gort Mhailor, Athenry (Phase 2)",10,N/A,"Stage 1 approved in Q2-2015, outline design and costs are now being prepared.",,,,,
318,SHIP CONSTRUCTION,Galway County,Roundstone,10,N/A,"Stage 1 approved in Q3-2017, outline design and costs are now being prepared.",,,,,
319,SHIP CONSTRUCTION,Galway County,"Sruchain an Chlair, Oughterard, Co. Galway",10,N/A,"Stage 1 approved in Q4-2017, outline design and costs are now being prepared.",,,,,
320,SHIP CONSTRUCTION,Galway County,"Culleen, Carraroe, Connemara",6,N/A,"Stage 1 approved in Q2-2017, outline design and costs are now being prepared.",,,,,
321,SHIP CONSTRUCTION,Galway County,"Esker Fields, Ballinasloe",2,N/A,,,"Stage 3 approved in Q4-2017, the scheme is now being tendered.",,,
322,SHIP CONSTRUCTION,Galway County,Ardrahan (SRD),1,N/A,,,,,,Q4-2017
323,SHIP CONSTRUCTION,Galway County,"Callowfinish, Carna (SRD)",1,N/A,,,,,Q2-2017,
324,SHIP CONSTRUCTION,Galway County,"Waterdale, Claregalway (SRD)",1,N/A,,,,"Stage 4 approved in Q2-2017, the scheme is now fully approved.",,
325,SHIP CONSTRUCTION,Galway County,Corndulla (SRD),1,N/A,,"Stage 2 approved in Q3-2016, full design/tender being prepared.",,,,
326,SHIP CONSTRUCTION,Galway County,Cill Ciar n (SRD),1,N/A,,,,,Q3-2017,
327,SHIP CONSTRUCTION,Galway County,Kinvara (SRD),1,N/A,,,,,Q2-2017,
328,SHIP CONSTRUCTION TURNKEY,Galway County,Athenry,14,N/A,,,,,,Q4-2017
329,SHIP CONSTRUCTION TURNKEY,Galway County,Portumna,10,N/A,,,,,,Q4-2017
330,SHIP CONSTRUCTION TURNKEY,Galway County,Kinvara,6,N/A,,,,,,Q4-2017
331,CALF CONSTRUCTION TURNKEY,Kerry,"Cathair Lakes Farrantoreen Road, Killorglin",6,Cluid Housing Association,,,,,,Q2-2016
332,CAS CONSTRUCTION,Kerry,Mitchels-Boherbee,16,Cluid Housing Association,,"Stage 2 approved in Q4-2017, full design/tender being prepared.",,,,
333,CAS CONSTRUCTION,Kerry,"Hawley Park Apartemnts, St Martins Park, Mitchels Rd, Tralee",15,Kingdom Voluntary Housing Association,,"Stage 2 approved in Q4-2017, full design/tender being prepared.",,,,
334,CAS CONSTRUCTION,Kerry,"Armagh House, Killarney",6,Cluid Housing Association,,,"Stage 3 approved in Q4-2017, the scheme is now being tendered.",,,
335,CAS CONSTRUCTION,Kerry,"The Parsonage, Caherciveen",5,Caherciveen Social Services (Housing) Ltd,,,,,Q4-2017,
336,CAS CONSTRUCTION,Kerry,"22 College Road, Castleisland",4,Kerry Emigrant Support Housing Association Ltd,,,,,Q4-2017,
337,REGENERATION,Kerry,"Croilar Na Mistaelach, Tralee",11,N/A,,,,,Q2-2017,
338,REGENERATION,Kerry,"St Martin's Park, Tralerr",4,N/A,,,,,Q2-2017,
339,REGENERATION,Kerry,"Clonmore Road, Tralee",3,N/A,,,,,,Q4-2016
340,REGENERATION,Kerry,"Urban Terrace, Tralee",2,N/A,,,,,,Q4-2016
341,REGENERATION,Kerry,"Bungalow at Dingle Road, Tralee",1,N/A,,,,,Q1-2017,
342,SHIP CONSTRUCTION,Kerry,"Lohercannon, Tralee",56,N/A,"Stage 1 approved in Q3-2017, outline design and costs are now being prepared.",,,,,
343,SHIP CONSTRUCTION,Kerry,"Balloonagh, Tralee",28,N/A,,"Stage 2 approved in Q4-2017, full design/tender being prepared.",,,,
344,SHIP CONSTRUCTION,Kerry,"Ardbhearna, Kenmare",22,N/A,,,,,Q4-2017,
345,SHIP CONSTRUCTION,Kerry,"Killeen, Tralee",21,N/A,,,,,Q4-2017,
346,SHIP CONSTRUCTION,Kerry,Rathmore/Barraduff,20,N/A,,"Stage 2 approved in Q3-2017, full design/tender being prepared.",,,,
347,SHIP CONSTRUCTION,Kerry,"The Park, Killarney",20,N/A,,,,,Q1-2017,
348,SHIP CONSTRUCTION,Kerry,"Marconi Avenue, Ballybunion",20,N/A,"Stage 1 approved in Q2-2017, outline design and costs are now being prepared.",,,,,
349,SHIP CONSTRUCTION,Kerry,"Ardmoneel, Killorglin",14,N/A,,"Stage 2 approved in Q4-2017, full design/tender being prepared.",,,,
350,SHIP CONSTRUCTION,Kerry,Milltown,8,N/A,,,"Stage 3 approved in Q4-2017, the scheme is now being tendered.",,,
351,SHIP CONSTRUCTION,Kerry,"Courthouse Lawn, Listowel",7,N/A,,"Stage 2 approved in Q2-2016, full design/tender being prepared.",,,,
352,SHIP CONSTRUCTION,Kerry,"Pinewood Estate, Killarney",5,N/A,,"Stage 2 approved in Q4-2017, full design/tender being prepared.",,,,
353,SHIP CONSTRUCTION,Kerry,Bill Kinnerk Road,4,N/A,,,,,Q2-2017,
354,SHIP CONSTRUCTION,Kerry,Lixnaw,4,N/A,,,,,,Q4-2017
355,SHIP CONSTRUCTION,Kerry,"Dreenagh, Ballyheigue (SRD)",1,N/A,,,,,,Q1-2017
356,SHIP CONSTRUCTION,Kerry,"Callinafercy, Milltown",1,N/A,,,"Stage 3 approved in Q3-2017, the scheme is now being tendered.",,,
357,SHIP CONSTRUCTION,Kerry,"Cahernaboshina, Ventry",1,N/A,,,,,Q4-2017,
358,SHIP CONSTRUCTION,Kerry,"Pinewood Estate, Killarney",1,N/A,,,,"Stage 4 approved in Q4-2017, the scheme is now fully approved.",,
359,SHIP CONSTRUCTION,Kerry,"Drom West, Glenbeigh",1,N/A,,,,"Stage 4 approved in Q4-2017, the scheme is now fully approved.",,
360,SHIP CONSTRUCTION,Kerry,"Meanus, Killorglin",1,N/A,,,,"Stage 4 approved in Q4-2017, the scheme is now fully approved.",,
361,SHIP CONSTRUCTION,Kerry,"Tullig Beg, Killorglin",1,N/A,,,,"Stage 4 approved in Q4-2017, the scheme is now fully approved.",,
362,SHIP CONSTRUCTION,Kerry,"Owngarry, killorglin",1,N/A,,,"Stage 3 approved in Q3-2017, the scheme is now being tendered.",,,
363,SHIP CONSTRUCTION,Kerry,"BallinaKilly Lower, Glenbeigh",1,N/A,,,,"Stage 4 approved in Q4-2017, the scheme is now fully approved.",,
364,SHIP CONSTRUCTION,Kerry,"Ashgrove, Listowel",1,N/A,,,,,,Q3-2017
365,SHIP CONSTRUCTION,Kerry,"SRD @ Cullenagh Upr, Beaufort",1,N/A,,,"Stage 3 approved in Q4-2017, the scheme is now being tendered.",,,
366,SHIP CONSTRUCTION TURNKEY,Kerry,"Cahirdown Wood, Listowel",22,N/A,,,,"Stage 4 approved in Q3-2017, the scheme is now fully approved.",,
367,SHIP CONSTRUCTION TURNKEY,Kerry,"Ard Na Si, Lispole",10,N/A,,,,,Q2-2017,
368,SHIP CONSTRUCTION TURNKEY,Kerry,1-9 Meadow Park,9,N/A,,,,"Stage 4 approved in Q3-2017, the scheme is now fully approved.",,
369,SHIP CONSTRUCTION TURNKEY,Kerry,1-4 Steeple Meadow View ,4,N/A,,,,,,Q4-2017
370,CALF CONSTRUCTION,Kildare,"Rye Abbey, Kilcock, (Apts)",33,Cluid Housing Association,,,,,,Q4-2017
371,CALF CONSTRUCTION,Kildare,"Morristown, Newbridge, Co Kildare",14,Cluid Housing Association,,,,Scheme approved for CALF funding Q4-2017 ,,
372,CALF CONSTRUCTION,Kildare,"Rye Abbey, Kilcock, (houses)",4,Cluid Housing Association,,,,,,Q4-2017
373,CALF CONSTRUCTION TURNKEY,Kildare,"Gallows Hill, Athy",24,Respond!,,,,Scheme approved for CALF funding Q2-2017,,
374,CALF CONSTRUCTION TURNKEY,Kildare,"Roseberry Hill, Newbridge - Phase 3",16,Túath Housing Association,,,,,Q3-2016,
375,CALF CONSTRUCTION TURNKEY,Kildare,"Roseberry Hill, Newbridge - Phase 2",16,Túath Housing Association,,,,,,Q4-2017
376,CALF CONSTRUCTION TURNKEY,Kildare,"Roseberry Hill, Newbridge - Phase 1",13,Túath Housing Association,,,,,,Q2-2017
377,CALF CONSTRUCTION TURNKEY,Kildare,"The Pike, Shenagun, Castledermot",6,Respond!,,,,Scheme approved for CALF funding Q1-2017,,
378,CALF CONSTRUCTION TURNKEY,Kildare,"Moorefield Road, Newbridge",2,Co-operative Housing Ireland,,,,,Q2-2017,
379,CAS CONSTRUCTION,Kildare,"Jigginstown House, Naas",14,Homeless Care Ltd,,"Stage 2 approved in Q3-2017, full design/tender being prepared.",,,,
380,CAS CONSTRUCTION,Kildare,"Main St., Kilcullen",4,Camphill Communities of Ireland,,"Stage 2 approved in Q4-2017, full design/tender being prepared.",,,,
381,CAS CONSTRUCTION,Kildare,"Mansfield Grove, Athy",4,KARE Promoting Inclusion for People with Intellectual Disabilities,"Stage 1 approved in Q1-2016, outline design and costs are now being prepared.",,,,,
382,CAS CONSTRUCTION,Kildare,"Craddockstown, Naas",3,KARE Promoting Inclusion for People with Intellectual Disabilities,"Stage 1 approved in Q3-2016, outline design and costs are now being prepared.",,,,,
383,CAS CONSTRUCTION,Kildare,"El Kantara, Newbridge",2,KARE Promoting Inclusion for People with Intellectual Disabilities,"Stage 1 approved in Q1-2016, outline design and costs are now being prepared.",,,,,
384,SHIP CONSTRUCTION,Kildare,"Rathasker, Naas",48,N/A,"Stage 1 approved in Q1-2016, outline design and costs are now being prepared.",,,,,
385,SHIP CONSTRUCTION,Kildare,"Ardclough Road, Celbridge",36,N/A,"Stage 1 approved in Q4-2017, outline design and costs are now being prepared.",,,,,
386,SHIP CONSTRUCTION,Kildare,"Dunmurry Rise, Bishopsland",32,N/A,,,,"Stage 4 approved in Q4-2017, the scheme is now fully approved.",,
387,SHIP CONSTRUCTION,Kildare,Athgarvan Village,30,N/A,"Stage 1 approved in Q3-2016, outline design and costs are now being prepared.",,,,,
388,SHIP CONSTRUCTION,Kildare,"Dominican Church Site, Athy",30,N/A,"Stage 1 approved in Q3-2017, outline design and costs are now being prepared.",,,,,
389,SHIP CONSTRUCTION,Kildare,"Beechgrove, Rathangan",18,N/A,,"Stage 2 approved in Q2-2017, full design/tender being prepared.",,,,
390,SHIP CONSTRUCTION,Kildare,Kilcock (Phase 2.2),13,N/A,,,,,Q4-2017,
391,SHIP CONSTRUCTION,Kildare,"Athgarvan Road, Newbridge",13,N/A,,,,,Q3-2017,
392,SHIP CONSTRUCTION,Kildare,"Anne Street, Prosperous",12,N/A,,,"Stage 3 approved in Q4-2017, the scheme is now being tendered.",,,
393,SHIP CONSTRUCTION,Kildare,"Coill Dubh, Co. Kildare",9,N/A,"Stage 1 approved in Q4-2017, outline design and costs are now being prepared.",,,,,
394,SHIP CONSTRUCTION,Kildare,Kilcock (Phase 2.1),6,N/A,,,,,,Q4-2017
